OrthoMclId	Chromosome	Ploidy	Genes In Ref	Total CN	Haploid Number	Gene Dose	Gene List
OG5_180880	Pf3D7_02_v3	1	2	2.071	2.07	2.1	PF3D7_0221200, PF3D7_0221000
OG5_130428	Pf3D7_02_v3	1	1	0.701	0.70	0.7	PF3D7_0208100
OG5_167011	Pf3D7_02_v3	1	1	1.097	1.10	1.1	PF3D7_0212800
OG5_128193	Pf3D7_02_v3	1	5	8.031	8.03	8.0	PF3D7_0221800, PF3D7_0200100, PF3D7_0223300, PF3D7_0223500, PF3D7_0200300
OG5_150752	Pf3D7_02_v3	1	1	1.444	1.44	1.4	PF3D7_0211500
OG5_130346	Pf3D7_02_v3	1	1	0.243	0.24	0.2	PF3D7_0204400
OG5_136172	Pf3D7_02_v3	1	1	2.334	2.33	2.3	PF3D7_0212100
OG5_196662	Pf3D7_02_v3	1	1	0.638	0.64	0.6	PF3D7_0209700
OG5_142839	Pf3D7_02_v3	1	1	0.805	0.80	0.8	PF3D7_0204200
OG5_126756	Pf3D7_02_v3	1	1	2.117	2.12	2.1	PF3D7_0211800
OG5_128445	Pf3D7_02_v3	1	1	0.687	0.69	0.7	PF3D7_0219100
OG5_160444	Pf3D7_02_v3	1	1	0.397	0.40	0.4	PF3D7_0206800
OG5_127250	Pf3D7_02_v3	1	1	1.241	1.24	1.2	PF3D7_0212300
OG5_127987	Pf3D7_02_v3	1	1	0.468	0.47	0.5	PF3D7_0210000
OG5_167012	Pf3D7_02_v3	1	1	1.153	1.15	1.2	PF3D7_0213900
OG5_pfal|PFB0106c	Pf3D7_02_v3	1	1	0.540	0.54	0.5	PF3D7_0202200
OG5_156836	Pf3D7_02_v3	1	1	0.464	0.46	0.5	PF3D7_0211200
OG5_127138	Pf3D7_02_v3	1	1	0.472	0.47	0.5	PF3D7_0217800
OG5_132200	Pf3D7_02_v3	1	4	7.432	7.43	7.4	PF3D7_0222800, PF3D7_0221400, PF3D7_0200400, PF3D7_0201300
OG5_156819	Pf3D7_02_v3	1	1	1.315	1.31	1.3	PF3D7_0215400
OG5_147636	Pf3D7_02_v3	1	1	0.501	0.50	0.5	PF3D7_0218100
OG5_145294	Pf3D7_02_v3	1	1	0.389	0.39	0.4	PF3D7_0213400
OG5_164978	Pf3D7_02_v3	1	1	1.350	1.35	1.4	PF3D7_0208600
OG5_126825	Pf3D7_02_v3	1	12	10.851	10.85	10.9	PF3D7_0200200, PF3D7_0223100, PF3D7_0201200, PF3D7_0223200, PF3D7_0201000, PF3D7_0222700, PF3D7_0223400, PF3D7_0200700, PF3D7_0222500, PF3D7_0222600, PF3D7_0200500, PF3D7_0200600
OG5_128461	Pf3D7_02_v3	1	1	1.061	1.06	1.1	PF3D7_0209400
OG5_167016	Pf3D7_02_v3	1	1	0.325	0.32	0.3	PF3D7_0215200
OG5_167019	Pf3D7_02_v3	1	1	0.766	0.77	0.8	PF3D7_0216500
OG5_127268	Pf3D7_02_v3	1	1	0.835	0.84	0.8	PF3D7_0214200
