PROJECT	GENE	FOOTPRINT_LENGTH	CHROMOSOME	FOOTPRINT_SPANS
TriTrypDB	LmjF.01.0010	999	LmjF.01	3704-4702
TriTrypDB	LmjF.01.0020	1650	LmjF.01	5790-7439
TriTrypDB	LmjF.01.0030	2007	LmjF.01	9061-11067
TriTrypDB	LmjF.01.0040	570	LmjF.01	12073-12642
TriTrypDB	LmjF.01.0050	1998	LmjF.01	15025-17022
TriTrypDB	LmjF.01.0060	750	LmjF.01	18137-18886
TriTrypDB	LmjF.01.0070	1797	LmjF.01	19951-21747
TriTrypDB	LmjF.01.0080	714	LmjF.01	22613-23326
TriTrypDB	LmjF.01.0090	825	LmjF.01	24859-25683
TriTrypDB	LmjF.01.0100	1047	LmjF.01	26405-27451
TriTrypDB	LmjF.01.0110	588	LmjF.01	28521-29108
TriTrypDB	LmjF.01.0120	1974	LmjF.01	30278-32251
TriTrypDB	LmjF.01.0130	1197	LmjF.01	33630-34826
TriTrypDB	LmjF.01.0140	249	LmjF.01	36878-37126
TriTrypDB	LmjF.01.0150	351	LmjF.01	37714-38064
TriTrypDB	LmjF.01.0160	243	LmjF.01	38940-39182
TriTrypDB	LmjF.01.0170	1377	LmjF.01	41273-42649
TriTrypDB	LmjF.01.0180	2319	LmjF.01	44148-46466
TriTrypDB	LmjF.01.0190	591	LmjF.01	47548-48138
TriTrypDB	LmjF.01.0200	801	LmjF.01	48851-49651
TriTrypDB	LmjF.01.0210	2694	LmjF.01	50677-53370
TriTrypDB	LmjF.01.0220	1008	LmjF.01	57026-58033
TriTrypDB	LmjF.01.0230	417	LmjF.01	58837-59253
TriTrypDB	LmjF.01.0240	2778	LmjF.01	60056-62833
TriTrypDB	LmjF.01.0250	2472	LmjF.01	63619-66090
TriTrypDB	LmjF.01.0260	846	LmjF.01	67443-68288
TriTrypDB	LmjF.01.0270	324	LmjF.01	69584-69907
TriTrypDB	LmjF.01.0280	1242	LmjF.01	71546-72787
TriTrypDB	LmjF.01.0290	519	LmjF.01	74034-74552
TriTrypDB	LmjF.01.0300	180	LmjF.01	75474-75653
TriTrypDB	LmjF.01.0310	1167	LmjF.01	76217-77383
TriTrypDB	LmjF.01.0315	432	LmjF.01	77741-78172
TriTrypDB	LmjF.01.0320	1020	LmjF.01	79049-80068
TriTrypDB	LmjF.01.0330	693	LmjF.01	80472-81164
TriTrypDB	LmjF.01.0335	294	LmjF.01	81749-82042
TriTrypDB	LmjF.01.0340	777	LmjF.01	83341-84117
TriTrypDB	LmjF.01.0350	2205	LmjF.01	85901-88105
TriTrypDB	LmjF.01.0360	570	LmjF.01	88974-89543
TriTrypDB	LmjF.01.0370	567	LmjF.01	90100-90666
TriTrypDB	LmjF.01.0380	2457	LmjF.01	91351-93807
TriTrypDB	LmjF.01.0390	2469	LmjF.01	94762-97230
TriTrypDB	LmjF.01.0400	1680	LmjF.01	98194-99873
TriTrypDB	LmjF.01.0410	603	LmjF.01	100528-101130
TriTrypDB	LmjF.01.0420	603	LmjF.01	102444-103046
TriTrypDB	LmjF.01.0430	2232	LmjF.01	103842-106073
TriTrypDB	LmjF.01.0440	1764	LmjF.01	107438-109201
TriTrypDB	LmjF.01.0450	657	LmjF.01	112139-112795
TriTrypDB	LmjF.01.0460	4626	LmjF.01	114558-119183
TriTrypDB	LmjF.01.0470	2091	LmjF.01	121759-123849
TriTrypDB	LmjF.01.0480	1080	LmjF.01	124711-125790
TriTrypDB	LmjF.01.0490	2097	LmjF.01	127704-129800
TriTrypDB	LmjF.01.0500	2124	LmjF.01	130947-133070
TriTrypDB	LmjF.01.0510	585	LmjF.01	136526-137110
TriTrypDB	LmjF.01.0520	2148	LmjF.01	137710-139857
TriTrypDB	LmjF.01.0530	4824	LmjF.01	143750-148573
TriTrypDB	LmjF.01.0540	1980	LmjF.01	149673-151652
TriTrypDB	LmjF.01.0550	870	LmjF.01	152788-153657
TriTrypDB	LmjF.01.0560	1863	LmjF.01	154977-156839
TriTrypDB	LmjF.01.0570	981	LmjF.01	157437-158417
TriTrypDB	LmjF.01.0580	2910	LmjF.01	159196-162105
TriTrypDB	LmjF.01.0590	1579	LmjF.01	162904-164482
TriTrypDB	LmjF.01.0600	5466	LmjF.01	165535-171000
TriTrypDB	LmjF.01.0610	1173	LmjF.01	171562-172734
TriTrypDB	LmjF.01.0620	1884	LmjF.01	173376-175259
TriTrypDB	LmjF.01.0630	2454	LmjF.01	177152-179605
TriTrypDB	LmjF.01.0640	3339	LmjF.01	181458-184796
TriTrypDB	LmjF.01.0650	1485	LmjF.01	185785-187269
TriTrypDB	LmjF.01.0660	4614	LmjF.01	188417-193030
TriTrypDB	LmjF.01.0670	918	LmjF.01	194045-194962
TriTrypDB	LmjF.01.0680	2403	LmjF.01	198854-201256
TriTrypDB	LmjF.01.0690	693	LmjF.01	202894-203586
TriTrypDB	LmjF.01.0700	765	LmjF.01	206309-207073
