OrthoMclId	Chromosome	Ploidy	Genes In Ref	Total CN	Haploid Number	Gene Dose	Gene List
OG5_128926	Pf3D7_02_v3	1	1	0.652	0.65	0.7	PF3D7_0215100
OG5_127438	Pf3D7_02_v3	1	1	0.761	0.76	0.8	PF3D7_0209800
OG5_167020	Pf3D7_02_v3	1	1	1.141	1.14	1.1	PF3D7_0216900
OG5_156492	Pf3D7_02_v3	1	1	0.522	0.52	0.5	PF3D7_0210400
OG5_160589	Pf3D7_02_v3	1	1	0.277	0.28	0.3	PF3D7_0213300
OG5_133717	Pf3D7_02_v3	1	1	1.098	1.10	1.1	PF3D7_0218600
OG5_145294	Pf3D7_02_v3	1	1	0.726	0.73	0.7	PF3D7_0213400
OG5_127595	Pf3D7_02_v3	1	1	1.351	1.35	1.4	PF3D7_0216000
OG5_136613	Pf3D7_02_v3	1	1	0.772	0.77	0.8	PF3D7_0215300
OG5_162068	Pf3D7_02_v3	1	1	1.425	1.43	1.4	PF3D7_0214600
OG5_128305	Pf3D7_02_v3	1	1	0.361	0.36	0.4	PF3D7_0219500
OG5_140543	Pf3D7_02_v3	1	1	1.072	1.07	1.1	PF3D7_0216800
OG5_166153	Pf3D7_02_v3	1	1	1.409	1.41	1.4	PF3D7_0209500
OG5_180880	Pf3D7_02_v3	1	2	1.478	1.48	1.5	PF3D7_0221000, PF3D7_0221200
OG5_132467	Pf3D7_02_v3	1	7	11.009	11.01	11.0	PF3D7_0207900, PF3D7_0207800, PF3D7_0207600, PF3D7_0207700, PF3D7_0207500, PF3D7_0207400, PF3D7_0208000
OG5_141751	Pf3D7_02_v3	1	1	1.589	1.59	1.6	PF3D7_0210600
OG5_128863	Pf3D7_02_v3	1	1	1.153	1.15	1.2	PF3D7_0214400
OG5_157770	Pf3D7_02_v3	1	1	1.124	1.12	1.1	PF3D7_0211100
OG5_143975	Pf3D7_02_v3	1	1	3.672	3.67	3.7	PF3D7_0222100
OG5_127950	Pf3D7_02_v3	1	1	1.056	1.06	1.1	PF3D7_0205900
OG5_135185	Pf3D7_02_v3	1	1	0.583	0.58	0.6	PF3D7_0212900
OG5_160444	Pf3D7_02_v3	1	1	0.331	0.33	0.3	PF3D7_0206800
OG5_127269	Pf3D7_02_v3	1	1	0.362	0.36	0.4	PF3D7_0219200
OG5_130659	Pf3D7_02_v3	1	1	1.838	1.84	1.8	PF3D7_0215900
OG5_132200	Pf3D7_02_v3	1	4	5.059	5.06	5.1	PF3D7_0221400, PF3D7_0201300, PF3D7_0222800, PF3D7_0200400
OG5_127277	Pf3D7_02_v3	1	1	1.453	1.45	1.5	PF3D7_0203100
OG5_128581	Pf3D7_02_v3	1	1	1.080	1.08	1.1	PF3D7_0217300
OG5_153562	Pf3D7_02_v3	1	1	0.145	0.15	0.1	PF3D7_0213000
OG5_129950	Pf3D7_02_v3	1	1	0.257	0.26	0.3	PF3D7_0213700
OG5_166415	Pf3D7_02_v3	1	1	0.920	0.92	0.9	PF3D7_0203600
OG5_158050	Pf3D7_02_v3	1	1	0.822	0.82	0.8	PF3D7_0212600
OG5_128445	Pf3D7_02_v3	1	1	0.916	0.92	0.9	PF3D7_0219100
OG5_127853	Pf3D7_02_v3	1	1	0.905	0.90	0.9	PF3D7_0210300
OG5_162652	Pf3D7_02_v3	1	1	1.118	1.12	1.1	PF3D7_0204800
OG5_126825	Pf3D7_02_v3	1	12	14.575	14.58	14.6	PF3D7_0201000, PF3D7_0223400, PF3D7_0200200, PF3D7_0200600, PF3D7_0222700, PF3D7_0222500, PF3D7_0222600, PF3D7_0201200, PF3D7_0200700, PF3D7_0200500, PF3D7_0223100, PF3D7_0223200
OG5_128919	Pf3D7_02_v3	1	1	1.068	1.07	1.1	PF3D7_0202900
OG5_128675	Pf3D7_02_v3	1	1	1.298	1.30	1.3	PF3D7_0206000
OG5_127138	Pf3D7_02_v3	1	1	0.551	0.55	0.6	PF3D7_0217800
OG5_173790	Pf3D7_02_v3	1	1	0.506	0.51	0.5	PF3D7_0210900
OG5_142894	Pf3D7_02_v3	1	1	2.003	2.00	2.0	PF3D7_0208700
OG5_165885	Pf3D7_02_v3	1	1	0.668	0.67	0.7	PF3D7_0217200
OG5_167009	Pf3D7_02_v3	1	1	0.387	0.39	0.4	PF3D7_0208800
OG5_134263	Pf3D7_02_v3	1	1	1.026	1.03	1.0	PF3D7_0202400
OG5_153560	Pf3D7_02_v3	1	1	1.403	1.40	1.4	PF3D7_0204100
OG5_128040	Pf3D7_02_v3	1	1	0.975	0.97	1.0	PF3D7_0218000
OG5_167007	Pf3D7_02_v3	1	1	0.741	0.74	0.7	PF3D7_0207000
OG5_167022	Pf3D7_02_v3	1	1	0.426	0.43	0.4	PF3D7_0219900
OG5_162016	Pf3D7_02_v3	1	1	0.122	0.12	0.1	PF3D7_0203400
OG5_132376	Pf3D7_02_v3	1	1	1.282	1.28	1.3	PF3D7_0201900
OG5_140864	Pf3D7_02_v3	1	1	8.867	8.87	8.9	PF3D7_0222000
OG5_167018	Pf3D7_02_v3	1	1	0.980	0.98	1.0	PF3D7_0216100
OG5_pfal|PFB0106c	Pf3D7_02_v3	1	1	0.742	0.74	0.7	PF3D7_0202200
OG5_128444	Pf3D7_02_v3	1	1	0.926	0.93	0.9	PF3D7_0211600
OG5_127038	Pf3D7_02_v3	1	1	0.652	0.65	0.7	PF3D7_0216600
OG5_161690	Pf3D7_02_v3	1	1	1.334	1.33	1.3	PF3D7_0217000
OG5_196489	Pf3D7_02_v3	1	2	1.109	1.11	1.1	PF3D7_0221700, PF3D7_0220500
OG5_157148	Pf3D7_02_v3	1	1	1.326	1.33	1.3	PF3D7_0212500
OG5_128308	Pf3D7_02_v3	1	1	0.647	0.65	0.6	PF3D7_0205400
OG5_167003	Pf3D7_02_v3	1	1	1.246	1.25	1.2	PF3D7_0202600
OG5_161668	Pf3D7_02_v3	1	1	1.707	1.71	1.7	PF3D7_0205700
OG5_155701	Pf3D7_02_v3	1	1	1.314	1.31	1.3	PF3D7_0214300
OG5_135176	Pf3D7_02_v3	1	1	1.510	1.51	1.5	PF3D7_0203800
OG5_196662	Pf3D7_02_v3	1	1	0.455	0.45	0.5	PF3D7_0209700
OG5_126600	Pf3D7_02_v3	1	1	0.628	0.63	0.6	PF3D7_0217500
OG5_128345	Pf3D7_02_v3	1	1	1.358	1.36	1.4	PF3D7_0218300
OG5_167006	Pf3D7_02_v3	1	1	1.322	1.32	1.3	PF3D7_0206500
OG5_167014	Pf3D7_02_v3	1	1	0.910	0.91	0.9	PF3D7_0214700
OG5_157837	Pf3D7_02_v3	1	1	1.873	1.87	1.9	PF3D7_0205200
OG5_127465	Pf3D7_02_v3	1	1	1.129	1.13	1.1	PF3D7_0219600
OG5_127923	Pf3D7_02_v3	1	1	1.146	1.15	1.1	PF3D7_0214000
OG5_167012	Pf3D7_02_v3	1	1	1.248	1.25	1.2	PF3D7_0213900
OG5_184624	Pf3D7_02_v3	1	1	0.293	0.29	0.3	PF3D7_0202500
OG5_128004	Pf3D7_02_v3	1	1	1.672	1.67	1.7	PF3D7_0203700
OG5_127419	Pf3D7_02_v3	1	1	0.198	0.20	0.2	PF3D7_0206600
OG5_151956	Pf3D7_02_v3	1	1	9.426	9.43	9.4	PF3D7_0222200
OG5_150537	Pf3D7_02_v3	1	1	1.581	1.58	1.6	PF3D7_0215800
OG5_173789	Pf3D7_02_v3	1	1	0.655	0.65	0.7	PF3D7_0210800
OG5_153627	Pf3D7_02_v3	1	1	1.019	1.02	1.0	PF3D7_0203200
OG5_130196	Pf3D7_02_v3	1	1	0.150	0.15	0.2	PF3D7_0219400
