PROJECT	GENE	FOOTPRINT_LENGTH	CHROMOSOME	FOOTPRINT_SPANS
PlasmoDB	PF3D7_0100100	6492	Pf3D7_01_v3	29510-34762;35888-37126
PlasmoDB	PF3D7_0100200	996	Pf3D7_01_v3	38982-39923;40154-40207
PlasmoDB	PF3D7_0100300	3984	Pf3D7_01_v3	42367-43617;43775-46507
PlasmoDB	PF3D7_0100400	1119	Pf3D7_01_v3	50363-50416;50572-51636
PlasmoDB	PF3D7_0100500	112	Pf3D7_01_v3	53169-53280
PlasmoDB	PF3D7_0100600	1080	Pf3D7_01_v3	53778-54788;54938-55006
PlasmoDB	PF3D7_0100700	204	Pf3D7_01_v3	56690-56893
PlasmoDB	PF3D7_0100800	1035	Pf3D7_01_v3	59772-59825;60023-61003
PlasmoDB	PF3D7_0100900	1053	Pf3D7_01_v3	62187-63185;63347-63400
PlasmoDB	PF3D7_0101000	1077	Pf3D7_01_v3	65817-66821;66918-66989
PlasmoDB	PF3D7_0101100	930	Pf3D7_01_v3	69304-70164;70349-70417
PlasmoDB	PF3D7_0101200	693	Pf3D7_01_v3	71624-71692;71803-72426
PlasmoDB	PF3D7_0101300	1232	Pf3D7_01_v3	74295-74631;74728-75622
PlasmoDB	PF3D7_0101400	828	Pf3D7_01_v3	75982-76809
PlasmoDB	PF3D7_0101500	1647	Pf3D7_01_v3	78241-79254;79257-79523;79526-79891
PlasmoDB	PF3D7_0101600	1110	Pf3D7_01_v3	81765-82820;83053-83106
PlasmoDB	PF3D7_0101700	1359	Pf3D7_01_v3	84791-85387;85389-85877;85880-86152
PlasmoDB	PF3D7_0101800	870	Pf3D7_01_v3	87203-88003;88109-88177
PlasmoDB	PF3D7_0101900	1032	Pf3D7_01_v3	90242-91204;91352-91420
PlasmoDB	PF3D7_0102000	759	Pf3D7_01_v3	93113-93591;93594-93686;93689-93875
PlasmoDB	PF3D7_0102100	846	Pf3D7_01_v3	95050-95166;95168-95203;95205-95810;95813-95899
PlasmoDB	PF3D7_0102200	5820	Pf3D7_01_v3	97590-99013;99220-103615
PlasmoDB	PF3D7_0102300	1583	Pf3D7_01_v3	104058-104775;104928-105792
PlasmoDB	PF3D7_0102400	1152	Pf3D7_01_v3	107197-108348
PlasmoDB	PF3D7_0102500	8166	Pf3D7_01_v3	109005-110823;110962-111050;111167-111245;111338-117516
PlasmoDB	PF3D7_0102600	3407	Pf3D7_01_v3	118812-119121;119272-120981;121148-122534
PlasmoDB	PF3D7_0102700	1683	Pf3D7_01_v3	124394-124588;124726-126213
PlasmoDB	PF3D7_0102800	2539	Pf3D7_01_v3	125835-128373
PlasmoDB	PF3D7_0102900	2986	Pf3D7_01_v3	128569-131554
PlasmoDB	PF3D7_0103000	1766	Pf3D7_01_v3	131609-132153;132281-132355;132481-132597;132693-132929;133017-133115;133285-133356;133513-134133
PlasmoDB	PF3D7_0103100	6217	Pf3D7_01_v3	134155-140371
PlasmoDB	PF3D7_0103200	2303	Pf3D7_01_v3	140494-141086;141340-143049
PlasmoDB	PF3D7_0103300	3571	Pf3D7_01_v3	143389-146959
PlasmoDB	PF3D7_0103400	5765	Pf3D7_01_v3	147031-152795
PlasmoDB	PF3D7_0103500	6183	Pf3D7_01_v3	153669-156520;156657-158966;159141-159234;159319-159431;159556-159645;159756-159936;160088-160630
PlasmoDB	PF3D7_0103600	5107	Pf3D7_01_v3	160673-165282;165553-165808;166033-166273
PlasmoDB	PF3D7_0103700	1624	Pf3D7_01_v3	166497-167557;167658-167926;168090-168206;168305-168362;168489-168545;168626-168687
PlasmoDB	PF3D7_0103800	1623	Pf3D7_01_v3	168768-169126;169216-169317;169400-169455;169598-169702;169821-169890;170042-170283;170405-170606;170733-170855;170956-171028;171152-171442
PlasmoDB	PF3D7_0103900	2586	Pf3D7_01_v3	172470-175055
PlasmoDB	PF3D7_0104000	492	Pf3D7_01_v3	175609-175666;175834-175888;175998-176376
PlasmoDB	PF3D7_0104100	4311	Pf3D7_01_v3	177187-178861;179190-181825
PlasmoDB	PF3D7_0104200	2616	Pf3D7_01_v3	182205-184820
PlasmoDB	PF3D7_0104300	12443	Pf3D7_01_v3	188420-197316;197550-200661;200891-201324
PlasmoDB	PF3D7_0104400	2897	Pf3D7_01_v3	201354-204250
PlasmoDB	PF3D7_0104500	1245	Pf3D7_01_v3	204368-205612
PlasmoDB	PF3D7_0104600	4462	Pf3D7_01_v3	205812-210273
PlasmoDB	PF3D7_0104700	2136	Pf3D7_01_v3	210870-213005
PlasmoDB	PF3D7_0104800	2474	Pf3D7_01_v3	215143-217616
PlasmoDB	PF3D7_0104900	308	Pf3D7_01_v3	218517-218824
PlasmoDB	PF3D7_0105000	330	Pf3D7_01_v3	218894-219223
PlasmoDB	PF3D7_0105100	1202	Pf3D7_01_v3	220727-221928
PlasmoDB	PF3D7_0105200	2416	Pf3D7_01_v3	222086-224501
PlasmoDB	PF3D7_0105300	1199	Pf3D7_01_v3	224638-225582;225764-226017
PlasmoDB	PF3D7_0105400	1202	Pf3D7_01_v3	226036-226892;227075-227419
PlasmoDB	PF3D7_0105500	1035	Pf3D7_01_v3	228485-229519
PlasmoDB	PF3D7_0105600	4083	Pf3D7_01_v3	229943-231382;231631-234068;234260-234464
PlasmoDB	PF3D7_0105700	10811	Pf3D7_01_v3	236742-236885;237092-237329;237755-248183
PlasmoDB	PF3D7_0105800	4343	Pf3D7_01_v3	248434-250366;250648-253057
PlasmoDB	PF3D7_0105900	2683	Pf3D7_01_v3	253089-255771
PlasmoDB	PF3D7_0106000	3512	Pf3D7_01_v3	255113-258624
PlasmoDB	PF3D7_0106100	1904	Pf3D7_01_v3	260105-262008
PlasmoDB	PF3D7_0106200	1338	Pf3D7_01_v3	262750-263859;264096-264323
PlasmoDB	PF3D7_0106300	5469	Pf3D7_01_v3	264487-265537;265674-265972;266116-270234
PlasmoDB	PF3D7_0106400	926	Pf3D7_01_v3	272296-272515;272667-272764;272859-272944;273180-273701
PlasmoDB	PF3D7_0106500	4654	Pf3D7_01_v3	274094-278747
PlasmoDB	PF3D7_0106600	900	Pf3D7_01_v3	279115-280014
PlasmoDB	PF3D7_0106700	5281	Pf3D7_01_v3	280595-285875
PlasmoDB	PF3D7_0106800	1104	Pf3D7_01_v3	286637-287050;287269-287352;287561-287630;287779-287817;287972-288084;288214-288266;288522-288615;288712-288764;288880-289063
PlasmoDB	PF3D7_0106900	2954	Pf3D7_01_v3	289849-292802
PlasmoDB	PF3D7_0107000	1058	Pf3D7_01_v3	293262-293765;293960-294027;294250-294336;294433-294513;294710-294769;294882-295139
PlasmoDB	PF3D7_0107100	1783	Pf3D7_01_v3	295177-296959
PlasmoDB	PF3D7_0107200	1303	Pf3D7_01_v3	297189-297535;297644-297768;297899-297992;298114-298188;298301-298480;298556-298602;298694-298739;298850-298927;299063-299181;299322-299513
PlasmoDB	PF3D7_0107300	1581	Pf3D7_01_v3	299464-300092;300200-301151
PlasmoDB	PF3D7_0107400	1728	Pf3D7_01_v3	302509-304236
PlasmoDB	PF3D7_0107500	8009	Pf3D7_01_v3	303437-304436;304604-304733;304876-304948;305123-311928
PlasmoDB	PF3D7_0107600	5702	Pf3D7_01_v3	313824-319525
PlasmoDB	PF3D7_0107700	1341	Pf3D7_01_v3	320168-321508
PlasmoDB	PF3D7_0107800	4424	Pf3D7_01_v3	321757-326180
PlasmoDB	PF3D7_0107900	1043	Pf3D7_01_v3	326323-327365
PlasmoDB	PF3D7_0108000	1354	Pf3D7_01_v3	328171-328479;328609-328703;328834-329343;329556-329995
PlasmoDB	PF3D7_0108100	2238	Pf3D7_01_v3	330597-332834
PlasmoDB	PF3D7_0108300	9996	Pf3D7_01_v3	334374-344369
PlasmoDB	PF3D7_0108400	1800	Pf3D7_01_v3	344373-344555;344676-344730;344873-344997;345142-345213;345318-345401;345503-345570;345685-345851;346015-346267;346528-347320
PlasmoDB	PF3D7_0108500	3323	Pf3D7_01_v3	347246-350568
PlasmoDB	PF3D7_0108600	2145	Pf3D7_01_v3	348892-350099;350299-350373;350545-350677;350789-350954;351034-351226;351378-351747
PlasmoDB	PF3D7_0108700	4759	Pf3D7_01_v3	351787-352356;352459-352540;352683-352815;353011-356984
PlasmoDB	PF3D7_0108800	2103	Pf3D7_01_v3	357279-357849;358046-358113;358219-358350;358505-358575;358703-358758;358895-359200;359384-359563;359745-359815;359919-359972;360119-360172;360265-360804
PlasmoDB	PF3D7_0108900	600	Pf3D7_01_v3	361987-362586
PlasmoDB	PF3D7_0109000	2138	Pf3D7_01_v3	362217-362462;363318-365209
PlasmoDB	PF3D7_0109100	3975	Pf3D7_01_v3	365266-365823;365920-369336
PlasmoDB	PF3D7_0109200	1657	Pf3D7_01_v3	369251-370907
PlasmoDB	PF3D7_0109300	1689	Pf3D7_01_v3	371146-372646;372876-373063
PlasmoDB	PF3D7_0109400	1672	Pf3D7_01_v3	373864-374810;374959-375683
PlasmoDB	PF3D7_0109500	1298	Pf3D7_01_v3	376164-376586;376830-377704
PlasmoDB	PF3D7_0109600	532	Pf3D7_01_v3	377795-378133;378265-378318;378461-378599
PlasmoDB	PF3D7_0109700	1328	Pf3D7_01_v3	378653-379552;379659-380086
PlasmoDB	PF3D7_0109800	2315	Pf3D7_01_v3	380254-382568
PlasmoDB	PF3D7_0109850	1983	Pf3D7_01_v3	383092-383722;383887-384012;384162-384270;384400-384538;384627-384807;384897-385099;385264-385385;385461-385520;385623-385767;385905-385971;386089-386150;386331-386393;386558-386632
PlasmoDB	PF3D7_0109950	750	Pf3D7_01_v3	386708-386722;386871-387042;387214-387299;387435-387462;387596-387731;387874-388186
PlasmoDB	PF3D7_0110000	1368	Pf3D7_01_v3	388192-389559
PlasmoDB	PF3D7_0110100	3299	Pf3D7_01_v3	388887-392185
